sample_id,region,province_soil_name,soil_texture_class,climate_type,season,elevation_m,temp_c,rainfall_mm,nitrogen_pct,phosphorus_ppm,potassium_cmol,soil_ph,organic_matter_pct,moisture_pct,cation_exchange_capacity,base_saturation_pct,soil_depth_cm,bulk_density_gcc,drainage_class,near_water_body,slope_pct,farm_history,previous_crop,best_crop,top3_crops,suitability_spread,score_Palay (Rice),score_Mais (Corn),score_Cassava,score_Camote,score_Saging (Banana),score_Tubo (Sugarcane),score_Niyog (Coconut),score_Kape (Coffee),score_Kakaw (Cacao),score_Abaka (Abaca),score_Luya (Ginger),score_Langka (Jackfruit),score_Pechay,score_Sitaw (String Beans),score_Ampalaya,score_Malunggay (Moringa),score_Talong (Eggplant),score_Kamatis (Tomato),score_Sibuyas (Onion),score_Bawang (Garlic),score_Pinya (Pineapple),score_Mangga (Mango),score_Durian,score_Repolyo (Cabbage),score_Strawberry
SOIL005006,MIMAROPA,Palawan Sandy Loam,Sandy Loam,Type I,Dry Season,115.0,24.6,15.1,0.239,4.24,3.748,7.2,2.32,23.5,18.5,,75.0,1.35,Somewhat Poorly Drained,1,3.8,Rotation,None,Sibuyas (Onion),Sibuyas (Onion)|Bawang (Garlic)|Kamatis (Tomato),43.2,49.7,80.5,68.5,76.0,76.7,70.5,81.9,41.8,55.8,52.1,48.4,80.5,78.2,80.6,76.2,79.1,83.1,84.4,85.0,84.6,70.5,80.3,47.2,74.5,59.0
SOIL003882,Northern Mindanao,Lanao Clay,Clay,Type IV,Wet Season,343.8,29.2,200.2,0.146,5.64,0.472,5.4,1.35,41.8,6.3,68.5,90.0,1.26,Somewhat Poorly Drained,0,5.2,Orchard,None,Palay (Rice),Palay (Rice)|Tubo (Sugarcane)|Langka (Jackfruit),68.4,96.2,73.8,58.8,57.9,74.3,87.7,76.0,75.1,79.9,75.6,72.1,80.9,51.2,47.2,47.7,74.9,58.0,46.8,37.5,27.8,74.8,59.2,75.4,31.7,43.5
SOIL000789,Northern Mindanao,Lanao Clay,Clay,Type IV,Transition,757.0,25.6,133.0,0.261,12.08,3.009,5.7,3.57,28.2,17.0,49.8,60.0,1.15,Excessively Drained,0,1.1,Rotation,Coconut,Niyog (Coconut),Niyog (Coconut)|Pinya (Pineapple)|Malunggay (Moringa),31.2,87.7,85.3,87.0,79.7,82.3,74.4,92.2,80.9,82.4,78.9,88.4,85.3,83.6,81.5,79.4,89.5,85.4,79.3,61.9,61.0,91.6,88.9,75.5,70.0,77.2
SOIL000422,Eastern Visayas,Biliran Clay Loam,Clay Loam,Type II,Dry Season,98.0,30.7,163.4,0.245,2.74,1.639,6.2,,24.0,27.0,61.2,90.0,0.86,Moderately Well Drained,0,12.0,Virgin Land,Coconut,Niyog (Coconut),Niyog (Coconut)|Langka (Jackfruit)|Malunggay (Moringa),27.7,77.3,99.3,89.8,82.6,94.0,96.5,100.0,72.3,80.5,75.6,75.9,100.0,93.2,89.5,99.6,100.0,98.3,98.8,83.7,79.4,89.9,100.0,78.3,84.5,78.0
SOIL000709,Northern Mindanao,Misamis Sandy Loam,Sandy Loam,Type IV,Wet Season,405.4,28.6,163.6,0.159,9.56,3.062,5.2,1.62,45.6,17.0,93.4,120.0,1.08,Somewhat Poorly Drained,0,5.3,Fallow,Unknown,Langka (Jackfruit),Langka (Jackfruit)|Kakaw (Cacao)|Pinya (Pineapple),44.2,86.2,86.2,66.2,76.2,83.1,78.3,90.9,90.1,92.2,88.1,84.1,92.9,70.0,58.9,59.1,88.7,71.1,57.0,56.4,52.0,91.2,68.8,84.9,48.7,54.8
SOIL003172,MIMAROPA,Palawan Sandy Loam,Sandy Loam,Type I,Wet Season,218.7,28.4,394.2,0.237,15.05,1.532,6.4,2.51,60.7,12.7,78.1,90.0,1.0,Well Drained,1,13.3,Monocrop,Corn,Saging (Banana),Saging (Banana)|Niyog (Coconut)|Kakaw (Cacao),44.5,79.3,99.1,76.3,69.2,100.0,90.4,100.0,92.2,100.0,100.0,95.9,99.7,70.9,67.7,67.1,93.0,70.4,69.3,69.4,65.6,90.5,77.2,100.0,57.8,55.5
SOIL004220,Central Visayas,Negros Clay,Clay,Type III,Wet Season,141.8,28.5,491.1,0.313,6.08,1.331,5.7,,72.9,16.5,92.7,75.0,1.21,Somewhat Poorly Drained,0,0.1,Monocrop,Corn,Palay (Rice),Palay (Rice)|Abaka (Abaca)|Niyog (Coconut),62.9,97.1,73.4,43.0,38.2,81.9,82.0,82.2,68.7,70.9,83.6,70.9,70.7,49.0,47.8,39.1,62.2,48.3,47.3,41.9,39.1,67.0,51.3,76.7,34.2,39.4
SOIL005432,SOCCSKSARGEN,Sultan Kudarat Clay,Clay,Type IV,Wet Season,88.8,29.1,35.9,0.247,2.57,0.875,6.3,3.3,54.8,21.0,,75.0,1.27,Moderately Well Drained,0,2.9,Virgin Land,Vegetable,Palay (Rice),Palay (Rice)|Malunggay (Moringa)|Tubo (Sugarcane),39.2,93.6,85.3,67.3,64.0,81.6,88.9,86.1,75.3,79.4,80.2,81.9,83.7,64.0,65.6,68.8,90.3,67.0,73.7,66.9,65.0,83.9,69.7,78.8,54.4,59.6
SOIL007921,CAR,Mountain Province Loam,Loam,Type III,Wet Season,2187.1,15.4,156.8,0.105,2.72,2.459,4.9,2.18,72.7,7.7,100.0,75.0,1.37,Moderately Well Drained,0,0.2,Rotation,Corn,Langka (Jackfruit),Langka (Jackfruit)|Kape (Coffee)|Pinya (Pineapple),36.9,82.8,86.1,70.8,66.5,73.7,76.1,82.8,88.0,81.6,81.7,79.0,88.9,68.5,53.3,52.0,84.4,56.4,59.2,61.1,60.1,86.7,69.5,74.1,60.8,62.6
SOIL004019,Central Luzon,Pampanga Clay,Clay,Type I,Transition,201.4,27.4,66.3,0.216,15.26,1.334,6.6,2.03,51.2,,82.8,90.0,0.85,Well Drained,1,6.6,Orchard,Vegetable,Malunggay (Moringa),Malunggay (Moringa)|Kamatis (Tomato)|Sitaw (String Beans),21.6,85.0,84.3,87.1,89.9,84.2,75.0,84.7,81.3,84.0,80.9,84.8,86.3,84.5,90.1,85.9,90.5,85.3,90.2,72.2,68.9,88.7,89.1,78.8,78.0,77.1
SOIL002707,Bicol Region,Camarines Sandy Loam,Sandy Loam,Type II,Wet Season,37.7,29.6,325.7,0.247,,3.004,4.9,2.6,50.6,,67.5,120.0,1.43,Somewhat Poorly Drained,0,1.6,Monocrop,Coconut,Kakaw (Cacao),Kakaw (Cacao)|Pinya (Pineapple)|Abaka (Abaca),57.9,84.1,80.8,74.1,66.1,81.1,70.1,89.2,83.8,91.1,90.1,78.4,87.1,50.2,47.2,50.1,90.1,57.3,49.8,45.0,39.0,90.6,70.8,89.5,33.3,33.2
SOIL003639,Zamboanga Peninsula,Sibugay Clay,Clay,Type IV,Wet Season,331.5,25.2,108.5,0.265,13.5,1.209,5.6,3.08,65.0,8.2,74.0,120.0,0.84,Poorly Drained,1,0.8,Orchard,None,Palay (Rice),Palay (Rice)|Tubo (Sugarcane)|Niyog (Coconut),52.0,100.0,85.1,66.4,59.1,81.0,89.5,86.6,77.8,84.0,77.9,82.8,85.0,66.2,57.7,55.1,78.5,64.6,61.3,59.3,59.2,83.9,65.9,78.3,48.0,55.3
SOIL001796,Caraga,Bislig Clay,Clay,Type II,Wet Season,5.6,29.2,329.8,0.155,18.78,1.307,5.4,1.48,66.1,,54.5,75.0,1.12,Moderately Well Drained,0,4.0,Virgin Land,Corn,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Abaka (Abaca),65.8,95.0,83.7,66.4,65.9,84.8,96.3,81.3,83.5,86.0,87.8,82.7,86.1,48.9,41.1,47.7,84.0,60.7,39.8,41.7,33.8,78.1,66.1,84.4,30.5,36.8
SOIL007121,BARMM,Basilan Clay Loam,Clay Loam,Type IV,Dry Season,28.5,28.8,288.9,0.217,8.41,1.778,6.7,3.1,24.0,16.6,27.8,75.0,1.19,Somewhat Poorly Drained,0,1.5,Monocrop,None,Malunggay (Moringa),Malunggay (Moringa)|Tubo (Sugarcane)|Niyog (Coconut),43.9,87.7,93.7,87.4,84.3,92.9,96.8,96.6,68.5,78.6,74.8,78.8,94.4,88.0,76.8,93.6,97.4,95.1,83.5,70.2,67.2,82.6,95.8,73.6,71.0,53.5
SOIL001488,Ilocos Region,Aparri Sandy Loam,Sandy Loam,Type I,Transition,112.3,28.3,35.5,0.182,,0.687,5.8,1.02,34.8,8.9,58.5,90.0,1.12,Moderately Well Drained,0,0.4,Orchard,None,Malunggay (Moringa),Malunggay (Moringa)|Mais (Corn)|Cassava,39.4,75.7,90.8,90.7,89.6,86.7,56.5,86.0,81.0,84.9,78.0,83.5,87.5,86.4,86.4,85.0,95.9,90.2,86.1,68.9,65.2,87.2,90.7,83.3,76.2,78.3
SOIL004859,Western Visayas,Iloilo Clay,Clay,Type I,Wet Season,254.7,28.4,207.9,0.175,14.2,2.832,5.0,1.75,90.1,4.8,57.5,150.0,1.19,Somewhat Poorly Drained,0,9.0,Orchard,Vegetable,Palay (Rice),Palay (Rice)|Tubo (Sugarcane)|Niyog (Coconut),65.4,96.8,75.3,59.7,66.4,72.9,86.3,84.3,79.1,81.8,82.1,71.6,83.5,55.3,48.2,51.3,83.2,54.4,50.8,44.5,31.4,82.0,63.6,84.2,33.5,34.9
SOIL003191,Western Visayas,Iloilo Clay,Clay,Type I,Dry Season,238.4,27.3,58.2,0.101,9.93,2.083,4.9,0.83,32.8,21.5,70.1,75.0,1.31,Well Drained,0,0.1,Orchard,Unknown,Malunggay (Moringa),Malunggay (Moringa)|Cassava|Pinya (Pineapple),38.9,57.3,71.6,82.5,80.8,65.7,73.8,78.8,53.2,52.9,55.0,44.3,74.2,70.6,69.6,63.8,83.2,69.3,65.1,71.5,66.1,82.0,80.5,51.2,51.5,58.8
SOIL002377,CAR,Mountain Province Loam,Loam,Type III,Dry Season,1784.2,15.5,221.4,0.236,9.66,1.088,5.4,3.65,24.9,17.4,73.5,45.0,1.3,Well Drained,1,6.0,Virgin Land,None,Pechay,Pechay|Mais (Corn)|Strawberry,31.0,69.0,99.4,90.7,89.8,87.4,90.6,90.3,79.4,72.5,73.7,70.7,90.9,100.0,81.5,75.0,89.8,86.9,82.9,83.3,78.2,91.0,91.2,72.0,89.1,95.7
SOIL003861,Caraga,Agusan Sandy Loam,Sandy Loam,Type II,Dry Season,86.9,27.6,202.6,0.148,5.53,1.601,5.9,1.61,8.5,,73.1,30.0,1.19,Poorly Drained,1,6.8,Virgin Land,None,Langka (Jackfruit),Langka (Jackfruit)|Saging (Banana)|Talong (Eggplant),23.3,71.5,91.2,91.8,89.6,92.3,81.4,90.7,75.7,70.9,74.5,73.1,94.2,91.6,86.7,89.5,91.9,92.1,84.4,87.4,77.6,91.5,89.2,72.2,76.8,76.9
SOIL001289,CALABARZON,Lipa Clay Loam,Clay Loam,Type III,Wet Season,397.3,24.6,307.4,0.34,5.37,1.565,5.5,3.1,61.6,24.1,,90.0,1.54,Well Drained,0,4.9,Virgin Land,None,Mais (Corn),Mais (Corn)|Saging (Banana)|Tubo (Sugarcane),49.7,91.7,100.0,65.2,61.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,71.3,50.3,64.4,91.0,79.6,59.5,50.9,50.3,94.7,83.9,98.3,53.5,52.1
SOIL007371,Caraga,Bislig Clay,Clay,Type II,Wet Season,262.9,28.5,250.0,0.265,5.63,1.496,5.3,2.88,50.5,17.4,81.0,75.0,1.68,Well Drained,0,10.9,Fallow,Unknown,Tubo (Sugarcane),Tubo (Sugarcane)|Pinya (Pineapple)|Palay (Rice),62.5,92.5,87.5,69.1,65.3,82.6,96.3,83.6,84.2,91.8,85.6,82.9,89.1,67.2,55.6,53.9,88.2,70.0,50.2,42.8,38.9,92.7,73.1,89.8,33.8,47.1
SOIL007083,Bicol Region,Albay Clay Loam,Clay Loam,Type II,Wet Season,197.9,26.8,483.2,0.192,4.75,2.89,5.1,1.94,45.4,22.7,45.8,60.0,1.31,Well Drained,0,15.6,Orchard,Unknown,Niyog (Coconut),Niyog (Coconut)|Abaka (Abaca)|Durian,64.7,91.3,85.1,61.0,57.2,94.7,89.1,100.0,88.9,89.9,99.4,79.2,93.2,62.2,45.7,55.4,87.2,64.4,53.8,40.6,43.7,76.8,70.0,97.6,41.4,35.3
SOIL002311,Ilocos Region,Luisiana Clay Loam,Clay Loam,Type I,Wet Season,236.8,27.6,329.8,0.177,26.72,0.808,6.0,2.18,58.3,30.5,38.4,60.0,1.26,Moderately Well Drained,0,0.7,Fallow,Rice,Palay (Rice),Palay (Rice)|Saging (Banana)|Niyog (Coconut),55.1,100.0,98.9,73.7,67.0,100.0,96.3,100.0,100.0,99.2,100.0,99.1,98.9,70.3,63.2,77.6,95.5,74.6,68.2,58.0,59.5,85.0,80.0,100.0,60.4,44.9
SOIL007092,Central Luzon,Candaba Muck,Muck,Type I,Dry Season,135.3,28.3,32.4,0.14,30.24,1.255,5.9,1.82,32.7,9.5,57.2,60.0,1.2,Excessively Drained,1,1.6,Rotation,Unknown,Malunggay (Moringa),Malunggay (Moringa)|Niyog (Coconut)|Pinya (Pineapple),39.4,64.3,77.8,81.9,75.3,70.7,72.0,84.7,49.8,49.9,49.7,55.7,73.5,76.3,75.6,74.2,89.1,76.5,76.2,75.8,70.3,82.4,76.8,50.5,65.2,67.9
SOIL006394,CALABARZON,Los Banos Clay Loam,Clay Loam,Type III,Wet Season,144.9,29.9,238.7,0.336,16.94,1.311,5.5,4.11,70.5,,65.2,60.0,1.21,Well Drained,0,4.3,Orchard,Coconut,Mais (Corn),Mais (Corn)|Saging (Banana)|Tubo (Sugarcane),55.7,96.9,100.0,63.1,64.0,100.0,100.0,100.0,95.8,100.0,100.0,100.0,98.8,78.8,57.9,70.1,91.7,85.3,73.3,54.6,44.3,92.1,84.4,100.0,56.2,57.3
SOIL000861,Western Visayas,Bacolod Clay Loam,Clay Loam,Type I,Wet Season,68.2,29.1,374.9,0.197,11.23,0.732,6.6,,71.6,25.5,43.0,60.0,1.04,Moderately Well Drained,0,8.0,Orchard,Vegetable,Mais (Corn),Mais (Corn)|Tubo (Sugarcane)|Abaka (Abaca),53.8,99.6,100.0,68.2,63.0,98.7,100.0,97.5,91.5,99.9,100.0,99.9,98.1,65.3,62.1,68.1,97.2,71.6,69.0,58.9,54.9,80.6,83.8,97.8,56.3,46.2
SOIL000962,CALABARZON,Antipolo Clay,Clay,Type III,Dry Season,256.0,25.6,250.5,0.136,4.96,1.509,6.3,1.25,39.7,,52.5,90.0,1.19,Moderately Well Drained,0,0.3,Monocrop,Coconut,Tubo (Sugarcane),Tubo (Sugarcane)|Mangga (Mango)|Cassava,29.5,79.5,84.6,85.2,83.0,79.6,92.5,82.3,65.5,66.2,63.8,65.9,84.7,83.8,83.2,79.5,85.0,83.5,74.8,72.9,71.5,83.5,88.0,68.4,63.0,65.8
SOIL001551,Central Visayas,Negros Clay,Clay,Type III,Dry Season,371.4,28.5,203.7,0.293,6.3,2.442,5.8,,35.1,17.4,75.6,60.0,1.16,Excessively Drained,0,3.5,Rotation,Vegetable,Tubo (Sugarcane),Tubo (Sugarcane)|Niyog (Coconut)|Pinya (Pineapple),32.6,69.7,78.3,85.0,69.9,82.3,92.2,92.1,60.9,62.2,66.0,61.5,82.4,82.5,77.3,75.2,82.4,83.2,75.2,70.2,59.6,90.5,83.9,65.8,68.4,71.0
SOIL001050,CALABARZON,Los Banos Clay Loam,Clay Loam,Type III,Transition,100.0,30.2,155.7,0.02,5.15,0.975,5.6,0.5,53.7,,68.2,90.0,1.34,Moderately Well Drained,0,3.9,Virgin Land,Vegetable,Mais (Corn),Mais (Corn)|Niyog (Coconut)|Malunggay (Moringa),43.6,79.1,90.0,81.1,80.7,86.7,66.9,89.4,80.5,85.7,79.2,85.7,85.8,78.8,68.2,77.5,89.4,84.0,73.1,49.2,46.4,77.9,87.4,82.3,66.6,65.4
SOIL001271,Western Visayas,Iloilo Clay,Clay,Type I,Wet Season,362.1,29.4,350.7,0.262,17.35,1.814,5.5,,82.7,25.1,83.8,45.0,1.3,Moderately Well Drained,0,7.1,Orchard,Rice,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Mais (Corn),62.4,98.4,93.8,69.5,57.6,88.2,100.0,93.4,86.4,89.5,92.7,89.1,86.7,56.9,50.6,48.0,85.3,62.2,49.3,48.4,39.7,82.4,75.5,91.0,37.6,49.9
SOIL001934,SOCCSKSARGEN,South Cotabato Loam,Loam,Type IV,Transition,133.6,24.5,123.7,0.275,13.99,2.674,6.0,3.45,36.5,25.3,65.6,45.0,1.15,Well Drained,0,12.6,Orchard,Rice,Mais (Corn),Mais (Corn)|Niyog (Coconut)|Kape (Coffee),16.5,86.3,100.0,97.9,86.8,99.4,86.2,100.0,100.0,100.0,100.0,100.0,99.6,100.0,100.0,100.0,98.5,97.1,100.0,83.5,87.0,100.0,100.0,95.4,94.5,95.4
SOIL007336,Central Luzon,Bulacan Clay Loam,Clay Loam,Type I,Wet Season,83.5,30.6,311.5,0.135,23.34,1.756,6.9,1.72,72.5,24.1,58.2,60.0,1.37,Well Drained,1,0.6,Fallow,Vegetable,Saging (Banana),Saging (Banana)|Niyog (Coconut)|Langka (Jackfruit),65.9,92.6,97.2,74.2,68.8,100.0,97.9,100.0,85.6,99.4,99.3,98.6,100.0,64.3,65.3,76.4,100.0,77.7,64.3,56.2,48.1,82.7,80.7,92.3,56.8,34.1
SOIL006348,Bicol Region,Albay Clay Loam,Clay Loam,Type II,Transition,339.7,28.2,150.5,0.158,,1.422,5.7,1.14,35.1,18.4,64.4,90.0,1.03,Well Drained,0,6.4,Monocrop,Vegetable,Mangga (Mango),Mangga (Mango)|Malunggay (Moringa)|Kape (Coffee),42.3,84.2,93.6,84.3,84.0,93.7,75.1,96.7,97.5,93.7,90.3,94.9,95.9,94.3,80.8,84.9,98.0,95.4,88.2,57.5,55.8,82.9,98.1,92.0,75.2,73.8
SOIL004268,Northern Mindanao,Lanao Clay,Clay,Type IV,Dry Season,742.0,22.2,283.9,0.218,12.91,0.68,5.1,1.93,34.9,9.5,60.3,45.0,1.05,Well Drained,0,3.3,Orchard,Corn,Pinya (Pineapple),Pinya (Pineapple)|Cassava|Camote,32.5,72.3,88.6,89.2,88.7,76.8,88.4,86.5,72.4,62.1,75.0,61.9,83.9,78.3,69.2,75.6,88.7,86.3,62.7,62.5,59.8,92.3,88.0,66.5,60.2,63.9
SOIL003242,CAR,Baguio Clay Loam,Clay Loam,Type III,Dry Season,2490.7,16.8,150.3,0.215,6.42,5.0,5.6,2.97,15.6,18.9,48.6,75.0,1.05,Well Drained,0,0.9,Monocrop,Rice,Mais (Corn),Mais (Corn)|Pechay|Repolyo (Cabbage),41.0,49.6,90.6,69.6,75.1,78.3,81.3,76.1,68.4,63.2,51.8,60.8,75.6,88.1,66.2,68.6,75.3,82.9,82.2,68.8,68.5,64.8,81.5,53.8,85.4,83.2
SOIL006738,Northern Mindanao,Lanao Clay,Clay,Type IV,WET SEASON,553.3,26.1,253.1,0.151,14.55,1.404,5.6,1.97,14.0,12.0,80.3,60.0,1.38,Well Drained,0,9.7,Rotation,Rice,Tubo (Sugarcane),Tubo (Sugarcane)|Luya (Ginger)|Abaka (Abaca),56.8,88.8,88.7,73.8,73.7,89.3,100.0,90.4,86.6,90.7,91.7,92.0,91.4,71.4,63.4,58.1,88.0,71.7,60.4,52.4,53.3,90.2,71.3,91.7,43.2,51.8
SOIL007716,CAR,Benguet Sandy Loam,Sandy Loam,Type III,Dry Season,1432.3,14.0,293.3,0.116,7.39,1.814,5.8,3.06,45.2,11.2,100.0,120.0,1.16,Well Drained,0,0.5,Monocrop,Vegetable,Mais (Corn),Mais (Corn)|Pinya (Pineapple)|Niyog (Coconut),47.1,50.9,98.0,89.3,89.8,83.7,75.8,93.7,75.3,71.9,73.3,73.2,91.9,93.2,79.0,83.6,92.4,88.3,76.7,84.5,83.2,94.2,93.3,74.2,82.5,91.1
SOIL001774,Cagayan Valley,Isabela Sandy Loam,Sandy Loam,Type III,Wet Season,122.2,28.0,295.4,0.227,,1.406,6.7,1.65,40.3,19.6,65.0,,1.07,Moderately Well Drained,0,6.9,Virgin Land,Unknown,Mais (Corn),Mais (Corn)|Saging (Banana)|Niyog (Coconut),43.8,92.4,100.0,83.8,84.3,100.0,88.4,100.0,96.6,98.9,100.0,99.4,100.0,73.1,79.4,79.0,100.0,80.4,72.3,66.0,67.0,97.4,79.4,95.9,58.9,56.2
SOIL002095,Eastern Visayas,Samar Sandy Clay,Clay,Type II,Wet Season,285.5,28.2,434.9,0.168,3.73,5.0,5.8,1.61,66.1,9.7,58.8,75.0,1.56,Well Drained,1,0.6,Fallow,Corn,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Niyog (Coconut),54.6,81.9,72.4,54.6,53.7,80.4,88.6,80.8,67.2,76.2,78.8,71.8,78.2,47.6,43.8,42.5,67.3,51.1,51.0,45.3,39.9,68.1,52.3,77.6,34.0,34.6
SOIL001531,Central Luzon,Candaba Muck,Muck,Type I,Wet Season,114.2,27.5,264.9,0.172,,3.36,6.3,1.99,62.4,,79.6,60.0,1.24,Moderately Well Drained,0,2.8,Rotation,Unknown,Niyog (Coconut),Niyog (Coconut)|Palay (Rice)|Durian,45.7,92.7,86.2,62.5,72.2,87.4,89.8,95.0,87.1,90.9,83.4,88.7,87.1,71.3,69.3,74.1,88.3,72.8,63.0,61.4,57.7,90.5,69.4,92.7,49.7,49.3
